    3366  ! number of record (species) in the file
! data generated using SIMPOL SAR
! 1st line give the T used to estimate vapor
! pressure (1st) and evaporation heat (2nd)
TREF 298.0
GGH300E   1.403E-09    93.2
GPH300Q   1.783E-09    79.8
GHD3006   4.845E-06    70.9
GGH300B   3.868E-07    77.9
GPH300C   4.914E-07    64.5
GHD2002   1.288E-05    66.5
GGH2003   1.028E-06    73.4
GPH2003   1.306E-06    60.1
GHD300B   5.609E-07    70.5
GPH300R   5.688E-08    64.1
GHN300P   4.442E-09    92.8
GHD300A   3.176E-08    87.7
GHV2002   1.811E-06    73.3
GNV3002   1.224E-06    77.5
GHV3001   6.813E-07    77.8
GDV3001   8.755E-06    72.5
GGV3001   6.990E-07    79.5
GPV3001   8.879E-07    66.1
GDV2001   2.327E-05    68.0
GAV2001   1.535E-07    81.0
GGV2001   1.858E-06    75.0
GPV2001   2.360E-06    61.6
GHV3004   7.886E-08    77.4
GDV3003   1.013E-06    72.1
GHO2003   1.534E-06    75.2
GHO3007   5.772E-07    79.6
GDO2001   1.972E-05    69.9
GGO2001   1.574E-06    76.9
GPO2001   1.999E-06    63.5
GHK3003   6.681E-08    79.3
GNN3009   4.810E-08    87.4
GNN400K   2.095E-09    91.5
GHN2004   1.526E-06    73.3
GHN300M   5.741E-07    77.8
GND3007   7.377E-06    72.5
GPN3007   7.481E-07    66.1
GND2001   1.961E-05    68.0
GGN2001   1.566E-06    75.0
GPN2001   1.989E-06    61.6
GHN300c   6.645E-08    77.4
GND300A   8.539E-07    72.1
GHD3008   2.691E-08    89.6
GGH300I   2.148E-09    96.6
GPH300L   2.729E-09    83.2
GHN300Q   2.676E-08    87.7
GGH300F   2.137E-09    94.7
GPH300I   2.714E-09    81.3
GHH300Q   1.489E-08    88.0
GGH300G   1.189E-09    95.0
GPH300J   1.510E-09    81.6
GHD3005   4.105E-06    72.7
GGH3009   3.277E-07    79.7
GPH300A   4.163E-07    66.3
GHD2001   1.091E-05    68.3
GGH2001   8.711E-07    75.3
GPH2001   1.107E-06    61.9
GHD3007   4.751E-07    72.4
GGH300H   3.793E-08    79.4
GPH300K   4.818E-08    66.0
GHN300T   2.676E-08    87.7
GGH300L   2.137E-09    94.7
GPH300O   2.714E-09    81.3
GHN300R   2.662E-08    85.9
GGH300D   2.125E-09    92.9
GPH300D   2.700E-09    79.5
GHN400c   1.159E-09    89.9
GHH300R   1.481E-08    86.2
GGH300J   1.182E-09    93.2
GPH300M   1.502E-09    79.8
GHN3007   4.083E-06    70.9
GGH300A   3.259E-07    77.9
GPH300B   4.140E-07    64.5
GHN2001   1.085E-05    66.5
GGH2002   8.664E-07    73.4
GPH2002   1.101E-06    60.1
GHN300S   4.726E-07    70.5
GGH300K   3.773E-08    77.5
GPH300N   4.793E-08    64.1
GED2001   4.241E-03    48.6
GHN300e   3.763E-09    94.6
GHH300e   2.094E-09    94.9
GHD300F   2.691E-08    89.6
GPH300H   2.729E-09    83.2
GHV2003   1.811E-06    73.3
GVO2001   3.272E-06    74.9
GHO2001   1.534E-06    75.2
GHV3006   4.466E-09    94.6
GHO3006   3.783E-09    96.5
GHO4005   9.330E-12   117.7
GHO5005   3.510E-12   122.2
GDO5005   4.510E-11   116.9
GAO5003   2.975E-13   129.8
GGO5004   3.601E-12   123.9
GPO5003   4.574E-12   110.5
GNO5006   6.308E-12   121.9
GNN500L   6.274E-12   120.1
GND500D   4.486E-11   115.0
GAN500F   2.959E-13   128.0
GND600l   1.954E-12   119.1
GGN600X   1.560E-13   126.1
GPN600g   1.981E-13   112.7
GHD500D   2.496E-11   115.3
GAH500O   1.647E-13   128.3
GGH500M   1.993E-12   122.3
GPH500M   2.531E-12   108.9
GPH601m   1.102E-13   113.0
GOO4002   2.572E-09   102.5
GNO4002   2.558E-09   100.6
GAO6003   1.119E-13   134.3
GGO6004   1.355E-12   128.3
GPO6003   1.721E-12   114.9
GGO5003   5.493E-10   107.0
GDO4003   1.829E-08    95.6
GAO4002   1.206E-10   108.5
GGO4003   1.460E-09   102.6
GPO4003   1.855E-09    89.2
GNK5007   1.114E-10   104.7
GDK5005   7.965E-10    99.7
GAK5004   5.254E-12   112.6
GGK5004   6.358E-11   106.6
GPK5006   8.077E-11    93.2
GHN300L   3.763E-09    94.6
GND500T   4.486E-11   115.0
GHN400T   9.230E-12   114.1
GPN6014   1.116E-14   128.0
GPN6013   1.110E-14   126.2
GPH602Y   6.176E-15   126.5
GNN5005   4.462E-11   113.2
GAN500D   2.943E-13   126.1
GNN600I   1.943E-12   117.2
GGN600U   1.551E-13   124.2
GPN600e   1.971E-13   110.8
GPH601j   1.096E-13   111.1
GGN4007   1.452E-09   100.7
GND500U   7.922E-10    97.8
GEH400B   1.427E-08    89.6
GHH400T   5.136E-12   114.3
GHN600P   1.081E-12   117.5
GGH600z   8.631E-14   124.5
GPH601k   6.101E-14   111.4
GGH4008   8.081E-10   101.0
GHK500A   6.198E-11   105.0
GOO3001   1.043E-06    81.2
GNO3001   1.037E-06    79.3
GHO3001   5.772E-07    79.6
GDO6005   2.588E-09   104.5
GPK6009   3.039E-11    97.7
GND600F   1.688E-11   119.5
GAN600B   1.113E-13   132.4
GGN600B   1.347E-12   126.5
GPN600A   1.712E-12   113.1
GNN6002   1.679E-11   117.6
GAN600A   1.107E-13   130.6
GGN6009   1.340E-12   124.6
GPN6008   1.702E-12   111.2
GHN6009   9.340E-12   117.9
GPH600Z   9.472E-13   111.5
GNO5001   9.623E-10   105.1
GND600B   2.575E-09   102.6
GAN6009   1.698E-11   115.6
GGN6008   2.055E-10   109.6
GPN6007   2.611E-10    96.2
GND5006   6.844E-09    98.2
GAN5000   4.514E-11   111.1
GGN5001   5.464E-10   105.2
GPN5006   6.941E-10    91.8
GND600E   2.980E-10   102.3
GGN600A   2.379E-11   109.2
GPN6009   3.022E-11    95.8
GHD600e   9.390E-12   119.8
GAH600F   6.194E-14   132.7
GGH600J   7.497E-13   126.7
GPH600N   9.523E-13   113.3
GAH600C   6.161E-14   130.9
GGH600G   7.456E-13   124.9
GPH600K   9.472E-13   111.5
GAH600D   3.428E-14   131.2
GGH600H   4.149E-13   125.2
GPH600L   5.270E-13   111.8
GHH500C   2.963E-10   103.8
GGH600F   1.144E-10   109.9
GHD5005   3.808E-09    98.5
GAH600E   1.094E-12   115.5
GGH600I   1.324E-11   109.5
GPH600M   1.682E-11    96.1
GHO4002   2.171E-07    84.1
GDO6008   2.588E-09   104.5
GAO6002   1.707E-11   117.4
GGO6002   2.066E-10   111.5
GPO6002   2.625E-10    98.1
GND600Y   2.575E-09   102.6
GHD600S   1.432E-09   102.9
GDO6003   3.949E-07    87.6
GDO5003   1.050E-06    83.2
GDK600D   4.571E-08    87.3
GDO4002   2.790E-06    78.8
GGO4002   2.227E-07    85.7
GPO4001   2.830E-07    72.4
GKO5001   1.708E-08    89.7
GHK5002   9.455E-09    88.2
GDK6006   4.571E-08    87.3
GAK6002   3.015E-10   100.2
GGK6002   3.649E-09    94.3
GPK6002   4.635E-09    80.9
GDK5003   1.215E-07    82.8
GPK5004   1.232E-08    76.4
GDO3001   7.417E-06    74.3
GAO3001   4.892E-08    87.3
GGO3001   5.921E-07    81.3
GPO3001   7.522E-07    67.9
GED4006   1.834E-07    84.3
GHK4005   1.647E-10   100.5
GDK600O   1.964E-12   120.9
GPK600C   1.992E-13   114.5
GHD600w   1.087E-12   119.4
GKO5002   1.120E-10   106.5
GDK600H   2.996E-10   104.1
GDK600N   3.468E-11   103.7
GNK5005   1.114E-10   104.7
GND500C   7.922E-10    97.8
GAN500E   5.226E-12   110.8
GND600k   3.450E-11   101.9
GGN600W   2.754E-12   108.9
GPN600f   3.498E-12    95.5
GHK5004   6.198E-11   105.0
GHH500x   3.430E-11   103.4
GGH600x   1.324E-11   109.5
GPH601l   1.947E-12    95.8
GKO4001   4.541E-08    85.3
GDK4004   3.230E-07    78.4
GGK4002   2.578E-08    85.4
GKK5002   1.978E-09    89.3
GDK5008   1.406E-08    82.4
GHH400b   6.140E-10    98.2
GHU4005   1.692E-07    82.9
GUO4001   4.665E-05    67.7
GHN2002   1.526E-06    73.3
GNN3007   7.984E-09    92.5
GHN300I   4.442E-09    92.8
GNV3004   8.027E-09    94.3
GHN300U   3.763E-09    94.6
GHN400U   9.280E-12   115.9
GGN500B   3.581E-12   122.0
GPN500K   4.550E-12   108.6
GNN500E   6.274E-12   120.1
GNN500J   6.241E-12   118.2
GGN5009   3.562E-12   120.2
GPN500I   4.525E-12   106.8
GGH600m   7.456E-13   124.9
GHN5009   2.483E-11   113.5
GAH500L   1.638E-13   126.4
GGH500K   1.982E-12   120.4
GPH500J   2.518E-12   107.1
GND4004   1.819E-08    93.7
GAN4002   1.200E-10   106.7
GGN4002   1.452E-09   100.7
GPN4002   1.845E-09    87.3
GGN500A   6.324E-11   104.8
GPN500J   8.034E-11    91.4
GHN300J   3.743E-09    92.8
GHN400R   9.181E-12   112.2
GNN500F   6.241E-12   118.2
GNN500Z   6.207E-12   116.4
GHN500j   3.454E-12   116.7
GAN600n   1.101E-13   128.7
GPN600d   1.693E-12   109.4
GNN500b   4.438E-11   111.3
GAN500R   2.928E-13   124.3
GPN500g   4.501E-12   104.9
GGH600j   7.416E-13   123.0
GPH602R   9.421E-13   109.7
GGH500t   1.971E-12   118.6
GPH501E   2.504E-12   105.2
GNN4000   1.809E-08    91.9
GAN4006   1.194E-10   104.9
GGN400A   1.445E-09    98.9
GNN600T   1.933E-12   115.4
GPN6015   1.960E-13   109.0
GHN500o   6.132E-11   101.3
GNN600G   2.964E-10   100.4
GPN600O   3.006E-11    94.0
GNN500Q   7.879E-10    96.0
GNN600U   3.431E-11   100.0
GEH4008   1.420E-08    87.8
GHN500L   3.491E-12   120.3
GHH400Q   5.108E-12   112.5
GHN500K   3.472E-12   118.5
GHH500Q   1.932E-12   118.8
GGH600k   4.127E-13   123.3
GGH500Y   1.097E-12   118.9
GPH500q   1.393E-12   105.5
GHN4004   1.007E-08    92.2
GGH4009   8.038E-10    99.2
GPH400G   1.021E-09    85.8
GNO3002   1.037E-06    79.3
GNN3000   1.032E-06    77.5
GHN3000   5.741E-07    77.8
GNN600F   1.679E-11   117.6
GNN500G   9.572E-10   103.2
GND600N   2.575E-09   102.6
GPN600Z   1.702E-12   111.2
GNN600C   1.670E-11   115.8
GNN5001   9.572E-10   103.2
GNN500B   9.520E-10   101.4
GHN500F   5.297E-10   101.7
GNN6000   2.561E-09   100.8
GAN6008   1.689E-11   113.8
GGN6007   2.044E-10   107.8
GPN6006   2.597E-10    94.4
GNN5007   6.807E-09    96.3
GAN500A   4.490E-11   109.3
GPN500O   6.903E-10    89.9
GNN600D   2.964E-10   100.4
GAN600X   1.955E-12   113.4
GPH601Z   9.472E-13   111.5
GHN600N   9.290E-12   116.1
GHN5003   5.326E-10   103.5
GHH5009   2.947E-10   102.0
GHN600D   1.425E-09   101.1
GGH600C   1.137E-10   108.1
GPH600f   1.445E-10    94.7
GHN500D   3.787E-09    96.6
GAH500Z   2.498E-11   109.6
GGH500j   3.024E-10   103.6
GPH500b   3.841E-10    90.2
GNN4006   3.881E-07    81.9
GHN400A   2.160E-07    82.2
GND600Z   2.575E-09   102.6
GND600J   3.928E-07    85.8
GGN600E   3.136E-08    92.8
GND4002   2.775E-06    76.9
GAN4000   1.831E-08    89.9
GGN4000   2.216E-07    83.9
GPN4000   2.814E-07    70.5
GNN500P   1.690E-08    86.0
GHN500B   9.404E-09    86.3
GND600M   4.546E-08    85.4
GAN6006   2.999E-10    98.4
GGN6003   3.630E-09    92.4
GPN6003   4.611E-09    79.0
GND500F   1.208E-07    81.0
GND3001   7.377E-06    72.5
GNV3003   1.417E-07    77.1
GAN3001   4.866E-08    85.4
GGN3001   5.889E-07    79.5
GPN3001   7.481E-07    66.1
GEN4002   1.825E-07    82.5
GNN500D   1.108E-10   102.8
GNN500U   1.102E-10   101.0
GHN500k   6.132E-11   101.3
GHN600Y   1.075E-12   115.7
GHN500J   6.165E-11   103.1
GHH500u   3.412E-11   101.6
GGH600l   1.317E-11   107.7
