TH6006    2.91E-11
HD600B    5.81E-11
HD6007    4.33E-11
HD600S    5.67E-11
DK600E    3.20E-11
TN6007    1.48E-11
ND600N    3.85E-11
ND600K    2.80E-11
ND600J    2.77E-11
AO6000    3.05E-11
NN5004    1.23E-11
DK6008    3.02E-11
HD600O    9.08E-11
HD600M    4.77E-11
DD600A    4.86E-11
HD600P    6.35E-11
ND600Q    2.05E-11
ND600D    2.27E-11
ND600X    2.22E-11
TN6009    8.96E-12
ND600W    3.08E-11
HD2000    1.32E-11
TN6005    1.58E-11
ND600L    2.29E-11
ND600H    2.77E-11
ND600E    4.35E-11
ND600A    2.70E-11
ND600R    2.52E-11
ND600Z    2.56E-11
UD4000    5.32E-11
ND600F    4.37E-11
ND600B    5.02E-11
HD4001    3.40E-11
ND600Y    4.43E-11
ND600P    3.92E-11
NK5002    1.77E-11
ND600T    3.11E-11
NU4000    2.08E-11
ND600O    3.97E-11
ND600U    3.53E-11
OO5001    1.48E-11
OO5000    3.68E-11
NO5005    3.46E-11
NO5004    2.03E-11
DK600B    4.75E-11
DK600C    2.66E-11
ND4001    1.92E-11
TO6003    4.54E-11
DO6006    5.89E-11
DO6008    5.34E-11
DO6007    3.13E-11
TO6002    3.08E-11
DO6003    5.55E-11
DK6009    3.91E-11
DK600A    7.82E-11
UO4000    6.07E-11
TO6001    2.95E-11
DO6004    8.96E-11
DO6002    4.83E-11
DO6005    6.87E-11
DK4001    2.95E-11
EH3000    9.24E-12
EH2000    5.53E-12
PD4000    2.21E-11
HD3000    3.41E-11
PP5000    1.61E-12
PH4001    7.98E-12
HH5008    4.07E-11
PH600P    1.06E-11
TK6007    1.41E-12
PH600H    3.74E-11
PD5002    2.16E-11
TH600D    4.23E-11
PD3000    2.09E-11
HD600U    2.82E-11
HH5004    1.64E-11
HD4003    2.74E-11
PH6004    1.05E-11
HD5006    3.19E-11
PD6003    2.61E-11
HD3001    3.99E-11
HD3002    3.39E-11
HH5003    2.51E-11
HD5009    3.48E-11
PD6005    2.29E-11
PH4000    2.56E-11
DD5004    4.52E-11
PO2000    4.16E-13
HD500A    3.28E-11
PH5003    2.14E-11
HD4002    7.68E-11
GH6002    4.12E-11
PH600Q    5.61E-11
PH5005    9.38E-12
HH4003    1.57E-11
GD4000    2.75E-11
PP6000    1.30E-11
PH5002    1.90E-11
PD5004    6.20E-11
PD5003    3.60E-11
PD2000    1.29E-11
PP6001    3.01E-12
PH5006    1.15E-11
PD5001    2.98E-11
HN500E    2.71E-11
TH600G    1.96E-11
PH5004    2.09E-11
HH4002    2.69E-11
HD4005    4.00E-11
TN600A    2.47E-12
HH4001    3.25E-11
GH6003    1.44E-11
HN500A    3.58E-11
PG5000    5.64E-12
PO4001    2.75E-11
HO3001    3.28E-11
TH600E    1.40E-11
GD5001    2.54E-11
HH600B    3.98E-11
GH4000    1.20E-11
GD3000    2.47E-11
HH5002    1.26E-11
PH600B    1.46E-11
HH5007    2.66E-11
PH5001    2.67E-11
PH6008    2.19E-11
