    3366  ! number of record (species) in the file
GND600B   259.56
GAN6009   266.07
GGN6008   271.72
GPN6007   331.73
GND5006   278.28
GAN5000   286.42
GGN5001   293.48
GPN5006   365.55
GND600E   287.53
GGN600A   298.15
GPN6009   359.62
GHD600e   279.62
GAH600F   291.22
GGH600J   301.27
GPH600N   281.15
GAH600C   276.70
GGH600G   281.15
GPH600K   339.44
GAH600D   301.27
GGH600H   310.14
GPH600L   285.18
GHH500C   275.80
GGH600F   291.22
GHD5005   262.54
GAH600E   291.79
GGH600I   301.84
GPH600M   302.60
GHO4002   238.75
GDO6008   249.10
GAO6002   265.89
GGO6002   279.62
GPO6002   271.72
GND600Y   259.56
GHD600S   265.89
GDO6003   227.44
GDO5003   221.82
GDK600D   249.66
GDO4002   216.90
GGO4002   260.40
GPO4001   320.32
GKO5001   244.75
GHK5002   262.54
GDK6006   249.66
GAK6002   266.46
GGK6002   280.18
GPK6002   293.17
GDK5003   246.33
GPK5004   324.11
GDO3001   213.73
GAO3001   240.24
GGO3001   260.81
GPO3001   379.66
GED4006   263.81
GHK4005   275.93
GDK600O   280.18
GPK600C   302.60
GHD600w   291.79
GKO5002   262.54
GDK600H   266.46
GDK600N   280.87
GNK5005   286.42
GND500C   317.06
GAN500E   324.11
GND600k   320.04
GGN600W   329.47
GPN600f   394.05
GHK5004   277.08
GHH500x   289.37
GGH600x   301.84
GPH601l   333.50
GKO4001   241.40
GDK4004   244.81
GGK4002   279.34
GKK5002   264.11
GDK5008   266.14
GHH400b   275.93
GHU4005   241.40
GUO4001   182.37
GHN2002   380.47
GNN3007   497.74
GHN300I   422.22
GNV3004   411.22
GHN300U   324.52
GHN400U   293.85
GGN500B   299.70
GPN500K   370.59
GNN500E   332.79
GNN500J   383.10
GGN5009   370.59
GPN500I   422.55
GGH600m   281.15
GHN5009   293.48
GAH500L   299.70
GGH500K   305.26
GPH500J   375.18
GND4004   310.18
GAN4002   320.32
GGN4002   329.09
GPN4002   418.08
GGN500A   330.33
GPN500J   405.65
GHN300J   431.92
GHN400R   439.28
GNN500F   383.10
GNN500Z   425.34
GHN500j   387.69
GAN600n   374.33
GPN600d   413.12
GNN500b   413.73
GAN500R   418.33
GPN500g   467.96
GGH600j   339.44
GPH602R   380.85
GGH500t   375.18
GPH501E   426.47
GNN4000   403.42
GAN4006   411.16
GGN400A   418.08
GNN600T   401.20
GPN6015   446.60
GHN500o   365.55
GNN600G   351.14
GPN600O   404.58
GNN500Q   395.05
GNN600U   386.34
GEH4008   329.09
GHN500L   269.02
GHH400Q   384.01
GHN500K   338.35
GHH500Q   275.24
GGH600k   285.18
GGH500Y   310.30
GPH500q   379.41
GHN4004   320.32
GGH4009   336.84
GPH400G   424.35
GNO3002   296.79
GNN3000   411.22
GHN3000   311.81
GNN600F   327.28
GNN500G   326.57
GND600N   259.56
GPN600Z   377.72
GNN600C   370.66
GNN5001   326.57
GNN500B   378.06
GHN500F   332.79
GNN6000   322.30
GAN6008   327.28
GGN6007   331.73
GPN6006   374.33
GNN5007   353.77
