    3366  ! number of record (species) in the file
GGH400P   424.35
GPH400W   491.73
GPH6024   407.72
GEH400C   336.84
GGH601P   342.82
GHH400i   301.59
GPH601C   342.82
GHH500q   275.24
GGH600c   281.15
GGH500b   305.26
GPH501C   375.18
GHH400I   329.09
GPH400f   430.07
GHH3009   324.52
GGH600b   276.70
GGH600a   335.76
GHN500T   359.99
GGH500i   370.59
GPH501K   422.55
GPH601Y   342.82
GHH500f   275.24
GHH500k   293.48
GPH501F   375.18
GGH600n   276.70
GPH600C   335.76
GHN600B   259.56
GGH6006   271.72
GPH6002   331.73
GHN500E   278.28
GGH500F   293.48
GPH500T   365.55
GGH601L   298.15
GPH601X   359.62
GHN4005   310.18
GGH400C   329.09
GPH4003   418.08
GHN600U   355.59
GGH601C   363.29
GHN600J   287.53
GGH600W   298.15
GPH600k   359.62
GHN500W   317.06
GHN3004   366.95
GGH3004   390.66
GPH3004   507.05
GPH602E   410.63
GPH602F   369.81
GGH601H   302.60
GPH6015   363.29
GHN500t   317.06
GGH500v   330.33
GPH501N   405.65
GPH602D   394.05
GHN400Y   367.50
GPH602G   397.43
GHN4008   298.20
GEH3003   277.62
GHH300K   335.52
GHH300T   286.62
GHH500O   277.08
GPH500g   305.26
GPH400U   343.76
GHH300N   345.22
GHH501N   305.26
GHH500S   293.48
GPH500t   375.18
GPH400R   430.07
GGH6019   306.63
GEH400D   300.43
GHH501O   309.40
GHH400h   297.78
GPH601D   288.85
GHH600C   291.22
GPH601B   285.18
GHH500T   289.37
GGH500c   309.40
GPH500u   310.30
GHH400J   289.05
GGH400N   310.46
GPH400S   350.03
GGH601A   318.64
GPH6025   310.31
GHH300B   272.42
GHH500X   277.08
GHH500U   293.48
GHH500g   298.73
GPH6019   285.18
GHH500W   289.37
GPH500w   310.30
GGH600h   301.27
GPH600D   281.15
GHH600G   291.22
GHH6001   265.89
GGH6007   291.22
GPH6003   276.70
GHH5008   262.54
GGH5007   289.37
GPH5008   299.70
GGH601G   301.84
GPH601N   302.60
GHH4000   260.40
GGH4007   289.05
GPH4004   336.84
GHH6006   280.18
GGH600X   301.84
GPH600l   302.60
GHH500Y   278.65
GHH3004   260.81
GGH3003   291.83
GPH3005   400.36
GPH6016   306.63
GHH600K   280.18
GHH500t   278.65
GGH500f   301.58
GPH500v   335.90
GHH400l   279.34
GPH400a   390.95
GHH2000   233.81
GHH3005   311.81
GHH3002   255.61
GHH500I   277.08
GPH500c   305.26
GHH4002   257.75
GHD600M   249.10
GHD5002   244.75
GGH5003   277.08
GPH5002   293.48
GHD4006   241.40
GPH400D   329.09
GHD500I   264.11
GGH500u   290.94
GHH3003   324.52
GHH501c   338.35
GHH5017   275.24
GHH600c   271.72
GPH501Y   375.18
GHH400F   285.07
GHH5005   261.96
GHN600A   259.56
GPH6005   331.73
GHN500g   278.28
GGH500S   293.48
GPH500Z   365.55
GHN4001   310.18
GGH400O   329.09
GPH4006   418.08
GEH4000   275.93
GHH600e   301.27
GHH600d   310.14
GHH500i   298.73
GHH600D   291.22
GGH600o   310.14
GPH601A   285.18
GPH500x   310.30
GHH400D   273.28
GHH5006   275.80
GHH6000   265.89
GGH6008   291.22
GPH6006   276.70
GHH500L   262.54
GGH500C   289.37
GPH500A   299.70
GHH4001   260.40
GGH4005   289.05
GPH4007   336.84
GHH500e   289.37
GHH600J   280.18
GPH600n   302.60
GHH3001   235.04
GHD600E   249.10
GHH5002   261.96
GHN6005   259.56
GPH6007   331.73
GHN500c   278.28
GHH600F   291.22
GHH5003   275.80
GHH6002   265.89
GGH6009   291.22
GPH6008   276.70
GHH500E   262.54
GPH500N   299.70
GHH600k   280.18
GHH4003   238.75
GHD600G   249.10
GHN6006   259.56
GPH6009   331.73
GHH6005   265.89
GGH600A   291.22
GPH600A   276.70
GHH5001   243.47
GHD6000   227.44
GGH6001   265.89
GPH6001   266.07
GHD5000   221.82
GGH5005   262.54
GPH5005   286.42
GHD600F   249.66
GPH601I   293.17
GHD4000   216.90
GGH4000   260.40
GPH4001   320.32
GHH6008   280.18
GPH600o   302.60
GHH5004   262.54
GHD6004   249.66
GGH6003   280.18
GPH600P   293.17
GHD5007   246.33
GPH501X   324.11
GHD600p   267.15
GHD3000   213.73
GGH3000   260.81
GPH3000   379.66
GHH500r   289.37
GHH600L   280.18
GHH5014   278.65
GPH5016   335.90
GHH4006   260.40
GHH600E   280.18
GPH6013   302.60
GHH5007   262.54
GHD6002   249.66
GGH600B   280.18
GPH600B   293.17
GHD5009   246.33
GGH5009   278.65
GPH500G   324.11
GPH6014   325.02
GHD400B   244.81
GGH400L   279.34
GPH4008   376.28
GHH5018   278.65
GHD600g   267.15
GPH601b   325.02
GHD500W   266.14
GHH400O   275.93
GHH4004   241.40
GHU4001   182.37
GHD2000   215.33
GGH2000   267.46
GPH2000   497.52
GEH3006   268.14
GHH300F   379.66
GHH300D   277.62
GGH500w   335.90
GGH500Q   290.94
GPH500k   330.33
GHD400E   263.81
GPH400P   384.02
GHH300E   390.66
GHH400r   424.35
GHH501R   370.59
GHN5012   400.62
GHH501P   305.26
GHH501I   330.33
GHH400j   329.09
GHN500Y   317.06
GGH500s   330.33
GPH500z   405.65
GHN400G   367.50
GGH400I   384.02
GPH400M   481.21
GHH501F   330.33
GGH6015   329.47
GPH601p   394.05
GHN500q   365.12
GEH4006   292.47
GHH400p   300.43
GHH400s   343.76
GHH501Q   309.40
GPH602B   310.31
GHH501J   301.58
GHH400d   289.05
GHH600I   280.18
GPH600w   302.60
GHH501a   278.65
GGH500d   301.58
GPH5011   335.90
GHH400E   279.34
GGH400J   303.84
GPH400N   390.95
GHH501G   301.58
GGH6016   311.40
GPH601q   333.50
GHH501E   292.96
GHH3007   260.81
GHH500b   293.48
GHN600G   287.53
GPH600x   359.62
GHN500X   317.06
GGH500g   330.33
GPH5013   405.65
GHH600Z   291.79
GPH601i   306.63
GHH600Y   301.84
GHH500c   289.37
GHH6007   280.18
GGH600d   301.84
GPH600y   302.60
GHH500Z   278.65
GGH500e   301.58
GPH5014   335.90
GHD600X   266.46
GPH600E   298.15
GHN600H   287.53
GPH601a   359.62
GHH6009   280.18
GGH600e   301.84
GPH600z   302.60
GHD6003   249.66
GGH6004   280.18
GPH6004   293.17
GHD5006   246.33
GGH5008   278.65
GPH500F   324.11
GHD600m   267.15
GGH601E   292.48
GPH6011   325.02
GHD4003   244.81
GGH4006   279.34
GPH400A   376.28
GHD600k   280.87
GHN600Q   320.04
GPH602T   394.05
GHH600S   292.48
GGH6018   311.40
GPH601s   333.50
GHH500a   278.65
GHD600U   267.15
GGH600R   292.48
GPH600m   325.02
GHD500K   266.14
GPH5015   371.34
GHD600j   281.77
GHD3003   247.57
GGH3005   284.95
GPH3006   474.37
GEH400K   284.15
GHH400q   292.47
GHH400t   384.02
GPH602I   337.17
GHH400e   279.34
GGH601K   302.53
GPH6017   329.47
GHD600f   267.15
GPH601h   325.02
GHD500R   266.14
GGH500h   292.96
GPH5012   371.34
GPH602H   365.44
GHD400A   268.62
GGH400K   297.28
GPH400O   455.65
GPH602J   369.47
GHH501H   292.96
GGH6017   303.42
GPH601r   365.44
GHD500Y   283.53
GHH400M   263.81
GHU4002   220.31
GHH300Y   277.62
GHH3006   240.24
GHH300C   240.24
GHU3000   176.35
GHV2000   337.54
GVO2000   307.08
GHO2002   204.45
GOO3002   171.15
GNO3005   278.40
GHO3004   208.52
GHO4004   214.25
GDO4004   182.37
GGO4004   241.40
GDO3002   176.35
GHN2003   361.16
GNO3003   278.40
GNN3008   398.51
GHN300Z   296.79
GNN400F   344.16
GAN400D   298.20
GND3009   333.54
GEH3002   240.24
GEH4005   241.40
GHO3005   208.52
GHN300Y   296.79
GHH300Z   235.04
GHN400N   262.95
GHH400c   238.75
GAH400H   241.40
GPH400e   320.32
GHD300D   213.73
GHH400u   260.40
GO02000    92.32
GN02000   307.08
GH02000   163.06
GO03000   107.26
GN03000   254.70
GH03000   171.15
GO04000   120.69
GN04000   229.37
GH04000   179.72
GD04000   123.34
GA04000   182.37
GG04000   216.90
GP04000   298.20
GD03000   112.46
GA03000   176.35
GG03000   213.73
GP03000   351.93
GDK4007   185.78
GPK4006   357.37
GD02000   103.20
GVK2000   407.81
GA02000   173.95
GG02000   215.33
GP02000   461.90
GEK5001   244.75
GEP5003   324.11
GEG4005   279.34
GEP4003   376.28
GEH5008   277.08
GEH500F   278.65
GEP5006   335.90
GEH5005   293.48
GEH500A   299.70
GEH500E   324.11
GEP5004   410.25
GEH5006   289.37
GEH500B   300.01
GEH500C   290.94
GEA5001   301.58
GEG5001   310.97
GEP5001   340.93
GEH400E   260.40
GEH400H   320.32
GEH4007   275.93
GEH5001   262.54
GEH5003   286.42
GEH5000   277.08
GEH5002   264.11
GEA5000   278.65
GEG5000   290.94
GEP5000   330.33
GEH4004   263.81
GEA4000   279.34
GEG4000   292.47
GEP4000   384.02
GEH5007   278.65
GEH5004   290.94
GEH500D   280.68
GEP5005   376.91
GEK3000   213.73
GEH3000   240.24
GED3000   221.06
GEK5003   264.11
GED5002   266.14
GEN5000   317.06
GEH500G   324.11
GEN5002   358.07
GEK4000   244.81
GEN4003   357.37
GEH400P   263.81
GEK5000   246.33
GEN5001   308.92
GEH5009   264.11
GED5000   248.35
GEA5002   266.14
GEG5002   280.68
GEP5002   365.12
GED4004   249.62
GEG4004   284.15
GEP4002   447.91
GEK5002   266.14
GEH500H   280.68
GED5001   268.99
GAN4009   357.37
GAH400C   263.81
GKO3000   176.35
GNK3000   333.54
GHK3001   213.73
GDK4000   185.78
GAK4001   220.31
GGK4001   244.81
GPK4001   357.37
GDK3001   183.68
GAK3001   221.06
GGK3001   247.57
GPK3001   450.67
GDK4003   225.12
GAK4005   249.62
GGK4005   268.62
GPK4004   439.13
GED2000   233.93
GHD300E   268.14
GED3003   247.57
GHD600u   291.79
GDD500H   264.11
GDD600L   280.87
GND600u   293.17
GND500O   317.06
GHD500P   278.65
GND600d   287.53
GDD4003   244.81
GDD500C   266.14
GHN600g   298.15
GND500S   317.06
GNN600W   386.34
GHN500u   324.11
GNN600R   351.14
GHN600d   293.17
GND500G   308.92
GND4008   357.37
GND600s   314.39
GND500W   358.07
GEH400J   279.34
GHH600j   301.84
GHD500X   278.65
GHH600v   291.79
GHH501d   290.94
GHD500E   264.11
GHD400C   263.81
GHD600v   280.87
GHD500a   280.68
GND600x   287.53
GDD5008   246.33
GNN600a   351.14
GND600g   281.01
GND500Q   308.92
GND600j   314.39
GHD600x   280.18
GHH600n   291.79
GHD500Q   264.11
GHD600o   280.87
GDD500F   248.35
GDD3001   221.06
GED4008   268.62
GDD500E   266.14
GDD600K   281.77
GHD6012   293.37
GDD5009   248.35
GDD600I   268.04
GDD4004   249.62
GDD600M   268.04
GDD500G   268.99
GEN3001   450.67
GNN600P   355.59
GNN600N   401.20
GNN500N   395.05
GHN500d   324.11
GNN600O   386.34
GHN600e   359.62
GNN500a   454.74
GHN500n   400.62
GHN600c   355.59
GNN400A   460.27
GEH400I   376.28
GHH600g   302.60
GHN5016   400.62
GHH600t   298.15
GHH501e   330.33
GHN500p   317.06
GHN400K   367.50
GNN6009   351.14
GHN600m   293.17
GNN600Q   397.52
GHN600l   355.59
GNN500d   388.83
GHH600l   298.15
GHN500U   317.06
GHN600W   287.53
GNN600M   381.89
GHN600X   320.04
GND3002   435.64
GEN4004   439.13
GNN600d   437.17
GNN500X   444.47
GHN500m   365.12
GHN600j   360.99
GHN400d   357.37
GNU4002   330.71
GEH3001   268.14
GEH400O   279.34
GHH600h   310.71
GHH500y   290.94
GEH400N   376.28
GHH501C   330.33
GEH400F   292.47
GHH501T   301.58
GHH400N   279.34
GHH600m   301.84
GHH501M   278.65
GHH600b   292.48
GHD3002   247.57
GEH400M   284.15
GHH501B   292.96
GHH400P   263.81
GHU4007   220.31
GHD400G   263.81
GED4003   244.81
GDD600F   266.46
GHD600a   280.18
GDD6005   249.66
GDD5006   246.33
GDD600E   267.15
GND600f   287.53
GND6006   281.01
GND500A   308.92
GHD600h   280.18
GHD600H   266.46
GHD500B   264.11
GDD6007   249.66
GND6007   281.01
GHD600I   266.46
GDD5002   223.39
GDD6006   250.35
GDD4002   220.31
GDD600G   267.15
GDD6004   250.35
GDD5005   248.35
GEN4001   357.37
GHN600I   293.17
GNN600e   397.52
GNN500A   388.83
GHN600k   287.53
GHN500H   317.06
GNN600A   346.16
GHN600M   287.53
GND5005   299.29
GND4005   345.38
GND500R   349.93
GEH4002   263.81
GHH600H   291.79
GHH600u   301.84
GHH600a   280.18
GHH500s   278.65
GHD500F   246.33
GHD4004   244.81
GHD500T   266.14
GDD6009   249.66
GND6008   281.01
GHD600J   266.46
GDD6001   228.01
GDD5001   223.39
GDD6008   250.35
GND6009   273.31
GND500H   299.29
GHH600A   280.18
GHD6006   249.66
GHD5008   246.33
GDD600A   228.01
GND600I   273.31
GHD6008   249.66
GDD6000   197.48
GDD5000   191.07
GDD6003   228.70
GDD4000   185.78
GHD600Y   267.15
GDD6002   228.70
GDD5004   225.42
GDD3000   183.68
GED4002   249.62
GHD600Z   280.87
GDD600D   268.04
GNN600X   381.89
GND500E   349.93
GND600m   350.37
GHD600b   267.15
GHD500G   266.14
GHD600n   281.77
GND600b   307.88
GHD600W   267.15
GDD5003   225.42
GDD600B   251.24
GDD4001   225.12
GDD600C   251.24
GDD5007   251.21
GDD600H   269.30
GHH400n   263.81
GHU4003   220.31
GHU4008   220.31
GUD4000   126.75
GDD2000   192.55
GED3001   260.10
GND600q   320.04
GHD600t   292.48
GDD600Q   281.77
GND600t   320.04
GND500N   358.07
GHD500O   280.68
GND600c   314.39
GHD600z   280.87
GND600o   356.01
GHD600r   293.37
GDD500B   268.99
GDD600J   283.02
GHN600f   325.02
GNN600Y   429.69
GHN500s   365.12
GHN600i   320.04
GND4009   429.00
GEH400G   284.15
GHH600i   302.53
GHH501K   292.96
GHD400D   268.62
GHH600s   303.42
GHD500Z   283.53
GND500J   349.93
GND600r   350.37
GHH600r   292.48
GHD500L   266.14
GHD600l   267.15
GDD600N   251.24
GHD600y   281.77
GDD500A   251.21
GDD600O   269.30
GDD3002   233.59
GED4007   276.84
GND500P   420.34
GND600w   410.62
GHD500U   283.53
GHD6011   294.63
GND600v   350.37
GDD4005   257.84
GDD500D   273.87
GDD600P   285.17
GHU400A   249.62
GUD4001   190.59
GHH300G   268.14
GHU3002   221.06
GHU3001   221.06
GUD3000   119.79
GUD4003   190.59
GHV3007   366.95
GDV3004   435.64
GPV3003   611.96
GHN300O   488.66
GND3008   591.25
GPN3008   778.02
GHH300X   379.66
GHD3009   450.67
GPH300T   620.64
GHV2001   461.90
GNV3001   464.96
GHV3000   351.93
GDV3000   417.26
GAV3000   435.64
GGV3000   450.67
GPV3000   602.25
GDV2000   654.92
GAV2000   678.55
GGV2000   697.85
GPV2000     0.00
GHV3003   450.67
GDV3002   615.68
GPV3002     0.00
GAH2003   481.20
GAN2001   481.20
GAH2001   267.46
GAN600d   298.15
GAG600T   301.84
GAD500A   278.65
GAA500H   290.94
GAG500I   301.58
GPA500P   335.90
GAN600b   359.62
GAN500K   324.11
GAA500E   330.33
GAH6015   302.60
GAH500b   290.94
GAG500F   310.97
GAD600E   280.18
GPA600d   302.60
GAN600I   293.17
GAA600C   298.15
GAD5004   264.11
GAD4004   263.81
GAA4005   279.34
GAG4009   292.47
GPA4008   384.02
GAN600c   325.02
GAA600N   292.48
GPA600X   329.47
GAD5009   280.68
GAN600s   377.72
GAN600r   413.12
GAH601H   380.85
GAA500G   405.65
GAG500H   410.25
GPA500O   467.48
GAG500G   340.93
GPA500N   414.47
GAH600e   335.76
GAH601C   335.76
GAH600f   281.15
GAN500I   317.06
GAA5006   324.11
GAG5006   330.33
GPA5007   405.65
GAN400C   367.50
GAA4007   376.28
GAG4007   384.02
GAH600a   291.79
GPA600O   306.63
GAH4009   279.34
GAA4006   292.47
GAN3005   366.95
GAH3008   260.81
GAN600l   293.17
GAD500B   264.11
GAG500J   290.94
GAG600S   302.60
GPA600a   363.29
GAG600R   363.29
GPA600Z   407.72
GAN500J   317.06
GAA600K   301.84
GAG600K   310.71
GAA600I   302.60
GAG600H   306.63
GAA600J   310.71
GAG600I   318.64
GAH500a   278.65
GAA600G   302.53
GAG600J   311.40
GAH600B   279.62
GAD600D   266.46
GAH600A   271.72
GAN600H   287.53
GAH600k   280.18
GAD4001   244.81
GAG4001   279.34
GAD3001   247.57
GAA3004   268.14
GAG3004   284.95
GPA3004   474.37
GAD600L   292.48
GAD600F   280.87
GAD500E   280.68
GAD600K   293.37
GAA500C   280.68
GAG5008   292.96
GAD4005   268.62
GAA4008   284.15
GAG400B   297.28
GAH2002   497.52
GAN5005   324.11
GAG5007   335.90
GPA500J   410.25
GAN600v   404.58
GAN500W   400.62
GAH500p   330.33
GAH400F   329.09
GAN400B   367.50
GPA400A   481.21
GAN600u   390.37
GPA600U   394.05
GAN500S   365.12
GAH300C   507.05
GAH500l   370.59
GAN500H   400.62
GAN600q   410.21
GAN500Z   459.34
GAH500s   405.65
GAN400F   480.75
GAH400N   418.08
GAN600P   374.33
GAN600f   401.20
GAH601D   377.72
GAH6012   359.62
GPA500M   463.57
GAN400A   468.02
GAA400C   474.94
GAG400D   481.21
GPA400B   563.36
GAH600X   298.15
GAA500D   330.33
GAH400D   376.28
GAA4009   384.02
GAN3003   488.66
GAH3006   379.66
GAA600F   359.62
GAG600E   298.15
GPA600J   359.62
GAN500T   413.73
GAH500X   365.55
GAG600M   359.62
GPA600Y   404.58
GAN500Q   395.05
GAA600D   298.15
GAG600D   302.60
GAN600F   351.14
GAA600E   355.59
GAN600Z   281.01
GAN500U   308.92
GAN4003   357.37
GAG4005   376.28
GPA4004   474.94
GAH500U   324.11
GAG600B   325.02
GPA600I   390.37
GAN500L   358.07
GAN3002   450.67
GAA3001   463.37
GAG3001   474.37
GPA3002   620.64
GAN600k   359.62
GAN600t   360.99
GAN600i   404.58
GAN500Y   450.04
GAH601A   363.29
GAH500r   371.34
GAH400I   376.28
GAN600L   355.59
GAN600m   401.20
GAN500M   395.05
GAG500A   371.34
GPA500D   455.07
GAN600g   386.34
GAN4007   439.13
GAG400C   455.65
GAN600j   390.37
GAN500X   427.39
GAN400E   345.38
GEA3000   284.95
GAH300E   390.66
GAH500C   290.94
GPA500K   340.93
GAG6004   301.84
GPA6008   302.60
GPA500C   335.90
GAH400P   279.34
GAG400A   303.84
GAH500k   292.96
GPA600K   366.68
GAH500P   330.33
GAH601B   302.60
GAG500C   335.90
GPA500H   410.25
GAH4008   376.28
GAG4008   390.95
GPA4009   486.93
GEA4002   303.84
GAH500m   335.90
GAH500n   310.97
GAH400J   336.84
GAH400L   300.43
GAH600Y   301.84
GPA600M   310.31
GAH601E   276.70
GAH600R   301.27
GAH500I   290.94
GAG500D   310.97
GPA500L   340.93
GAH400E   292.47
GAA400A   303.84
GAG400E   313.87
GPA400E   397.21
GAH500o   303.61
GAH3003   379.66
GAH3004   277.62
GAG600G   301.84
GPA600H   363.29
GAH500T   300.01
GAG600F   310.71
GPA600G   306.63
GAH400M   320.32
GAH4004   275.93
GAH600S   266.07
GAH6006   279.62
GAH600Q   266.46
GAG5004   290.94
GPA5004   330.33
GAH400K   263.81
GPA4002   384.02
GAH500R   290.94
GAG600C   302.53
GPA600E   329.47
GAH3002   268.14
GAA3002   284.95
GAG3002   299.16
GPA3001   484.08
GAH500d   280.68
GAG5009   303.61
GPA500E   376.91
GAH600o   302.53
GAH600l   293.37
GPA400F   462.58
GAH500q   295.82
GAH400Q   279.34
GAH400O   244.81
GAN2000   461.90
GAH2000   244.69
GAH300A   366.95
GAD600C   280.18
GAD6006   266.46
GAA6008   280.18
GAG6008   291.79
GPA600C   298.15
GAD5003   264.11
GAA5004   278.65
GAG5003   290.94
GPA5002   330.33
GAN600N   355.59
GAH600u   298.15
GAH500D   278.65
GAA5007   290.94
GAH4006   260.40
GAN6005   287.53
GAA6006   293.17
GAH5004   262.54
GAD6002   249.66
GAG6009   280.18
GPA6002   293.17
GAD5002   246.33
GAA5001   264.11
GAG5002   278.65
GPA5003   324.11
GAD4003   244.81
GAA4002   263.81
GAG4004   279.34
GPA4001   376.28
GAD600B   280.87
GAN600J   320.04
GAA600H   325.02
GAH500K   278.65
GAD6005   267.15
GAA6005   280.87
GPA600D   325.02
GAD5006   266.14
GAD600A   281.77
GAH3009   379.66
GAH500A   293.48
GAG6006   298.15
GPA6007   359.62
GAN5004   317.06
GPA5008   405.65
GAN600U   320.04
GAN600O   370.66
GAN500C   395.05
GAA500F   400.62
GAG500E   405.65
GAN600W   386.34
GAH500i   324.11
GAN4005   403.42
GAH4005   320.32
GAN600e   351.14
GAH600d   331.73
GAH500S   286.42
GAN600C   322.30
GAH6009   266.07
GAN6003   281.01
GPA600F   355.59
GAN5001   308.92
GAA5005   317.06
GAG5005   324.11
GPA5005   400.62
GAN600E   314.39
GAN4004   357.37
GAA4003   367.50
GAG4003   376.28
GPA4003   474.94
GAH500Y   324.11
GPA600b   390.37
GEA4001   279.34
GAH601I   301.84
GPA600Q   310.31
GAH500E   289.37
GAH600H   271.72
GAH600W   280.18
GAH500J   324.11
GAH600y   310.71
GAH500c   290.94
GAA5008   301.58
GAH600z   331.73
GAH600L   293.17
GAH500F   277.08
GAH6002   266.46
GAG600A   291.79
GPA6009   298.15
GAH5000   264.11
GAA5003   278.65
GPA5006   330.33
GAH600N   291.79
GAH600J   280.87
GAH4002   263.81
GAA4001   279.34
GAG4002   292.47
GPA4005   384.02
GAH500h   290.94
GAH600h   280.87
GPA600c   329.47
GAN3000   351.93
GAH3000   240.24
GPA600R   298.15
GAH6007   280.18
GAA6004   291.79
GPA600A   302.60
GAN5002   278.28
GAH5002   262.54
GAN6002   259.56
GAD6001   249.66
GAA6000   266.46
GAG6000   280.18
GPA6000   293.17
GAD5007   246.33
GPA500I   324.11
GAD6008   267.15
GAN600a   370.66
GAN500B   353.77
GAH5009   286.42
GAA6007   287.53
GAG6007   293.17
GPA6006   355.59
GAN5007   308.92
GPA500G   400.62
GAH6014   280.18
GAH600M   276.70
GAH600O   291.79
GAA600B   301.84
GAH5005   277.08
GAA6002   280.18
GAG6002   291.79
GPA6003   298.15
GAH500B   264.11
GAN4001   298.20
GAH4000   241.40
GAA6009   266.46
GAN5003   268.65
GAH5003   244.75
GAN6001   251.86
GAH6001   249.10
GAD6000   228.01
GAA6001   249.66
GAG6001   266.46
GPA6001   287.53
GAD5000   223.39
GAA5000   246.33
GAG5000   264.11
GPA5000   317.06
GAH6004   266.46
GAD6009   250.35
GAD4000   220.31
GAA4000   244.81
GAG4000   263.81
GPA4000   367.50
GAH6013   280.87
GPA600P   329.47
GAH5006   264.11
GAN600D   281.01
GAD6004   250.35
GAA6003   267.15
GAG6003   280.87
GPA6004   320.04
GAD5005   248.35
GPA5009   365.12
GAD600I   268.04
GAD3000   221.06
GAA3000   247.57
GAG3000   268.14
GPA3000   463.37
GEA4003   268.62
GAG600Q   302.53
GAG600O   329.47
GAH600w   292.48
GAG6005   292.48
GPA600B   325.02
GPA500B   371.34
GAD600H   281.77
GAA600M   293.37
GAG600P   303.42
GAH600q   359.62
GAH600r   302.60
GAH600v   325.02
GAN600T   351.14
GAH600T   293.17
GAN600S   314.39
GAN5008   358.07
GAA500A   365.12
GAH600s   325.02
GAN600R   356.01
GAH600m   302.53
GAH500H   280.68
GAA5009   292.96
GAH4003   263.81
GAN600K   351.14
GAA600O   320.04
GAH600U   291.79
GAH600g   280.87
GAA600A   292.48
GPA600L   329.47
GAN5009   308.92
GAH5007   264.11
GAN6004   281.01
GAH6003   266.46
GAD6003   250.35
GPA6005   320.04
GAD5001   248.35
GAA5002   266.14
GAG5001   280.68
GPA5001   365.12
GAN600G   314.39
GAH600K   280.87
GAD6007   268.04
GAD4002   249.62
GAA4004   268.62
GPA4007   447.91
GAH500j   280.68
GAH600p   280.87
GAA600L   281.77
GAG600N   293.37
GPA600T   360.99
GAD5008   268.99
GAA500B   283.53
GAH600x   293.37
GAD600G   283.02
GAH4007   244.81
GAU4000   185.78
GAD2000   233.93
GAA2000   263.30
GAG2000   286.07
GPA2000   714.17
GAN600Y   320.04
GAD4007   268.62
GPA400D   455.65
GPA600W   365.44
GAD500D   283.53
GAN400G   468.02
GAA400D   447.91
GPA400C   578.41
GAH6019   302.53
GAH6016   329.47
GAH6017   311.40
GAH600Z   292.48
GPA600N   333.50
GAA400B   297.28
GAG400F   308.65
GAH6018   303.42
GAN3004   450.67
GAH3007   268.14
GAH6011   293.17
GAH400G   263.81
GAD600J   267.15
GAH600j   293.17
GAH600t   291.79
GAH600P   266.46
GAD500C   248.35
GPA500A   365.12
GAH600n   280.87
GAD4006   249.62
GAG4006   284.15
GPA4006   447.91
GAH500W   280.68
GAG600L   293.37
GPA600S   360.99
GAD3002   260.10
GAA3003   280.67
GAG3003   297.48
GPA3003   654.41
GAN400H   439.13
GAN600M   320.04
GAN500N   358.07
GAG500B   295.82
GPA500F   433.61
GAN600h   356.01
GAH300B   284.95
GAH300D   247.57
GAH3005   247.57
GAU3000   183.68
GGD600O   301.84
GPG600w   306.63
GPG500S   340.93
GGN600y   302.60
GGH601e   306.63
GGN600S   298.15
GGG600U   306.63
GGN500J   330.33
GGG500B   340.93
GGH601g   310.71
GGG500I   319.37
GGD600H   291.79
GGH601T   301.84
GPG600B   302.60
GGD5006   278.65
GGD4004   279.34
GGG400A   303.84
GPG4008   390.95
GGD600N   302.53
GGH601f   311.40
GGD600D   292.48
GGG600S   311.40
GGG500K   414.47
GPG500Y   471.12
GGG500J   345.53
GPG500X   418.39
GGN500G   324.11
GGG5007   335.90
GPG500B   410.25
GGN400F   376.28
GPG600N   310.31
GGH400B   292.47
GGG4006   313.87
GPG500Q   335.90
GPG600o   366.68
GGN600d   293.17
GGG600G   310.71
GGH500p   290.94
GPG600j   306.63
GPG600h   329.47
GGD4001   263.81
GGH601J   302.53
GGD3002   268.14
GGG3004   299.16
GPG3004   484.08
GPG600f   333.50
GGD500C   280.68
GGD4005   284.15
GGG4007   308.65
GGN5008   330.33
GPG500N   414.47
GGN600u   363.29
GGN600t   407.72
GGH601c   366.68
GGN600R   359.62
GGN500L   405.65
GGN600f   359.62
GGN400D   376.28
GPG400A   486.93
GGN600p   329.47
GGN600n   394.05
GGH601W   333.50
GGN600Q   325.02
GPG600v   397.43
GGN600o   365.44
GGN500F   405.65
GGN500T   463.57
GGH5014   410.25
GGH601R   363.29
GPG500W   467.48
GGN400C   474.94
GGG4008   486.93
GPG400B   568.24
GPG600K   369.81
GGH400E   384.02
GGG4005   397.21
GPG600n   410.63
GGN600q   404.58
GPG600m   407.72
GGG500H   410.25
GGG600D   306.63
GGG500F   340.93
GGN600P   355.59
GPG5005   405.65
GGN4003   367.50
GPG4004   481.21
GGN600r   390.37
GPG600b   394.05
GGN500K   365.12
GGN3002   463.37
GGG3001   484.08
GPG3002   628.49
GGN500S   455.07
GGH5013   376.91
GPG600d   397.43
GPG500F   459.67
GGN500R   433.61
GGN400E   357.37
GEG3000   299.16
GGH500J   301.58
GPG500O   345.53
GGH600u   302.60
GGH500q   335.90
GGH500x   310.97
GPG500J   340.93
GGH400Q   292.47
GPG4007   397.21
GGH500z   303.61
GGH500U   335.90
GGH5012   340.93
GGH500r   330.33
GPG500L   414.47
GGH400A   384.02
GPG4009   492.19
GEG4002   313.87
GPG600L   313.69
GPG600J   310.31
GGH500W   301.58
GPG500M   345.53
GGH400H   303.84
GGG400B   322.84
GPG400E   402.93
GPG600U   310.31
GGG500G   319.37
GPG600k   306.63
GGH500N   278.65
GPG5006   335.90
GGH601F   292.48
GPG4002   390.95
GPG600O   333.50
GGH500k   292.96
GPG500T   381.94
GGH3002   284.95
