3.0E+00  1.0E+09  1.0E-01  GTH600R 
3.2E+00  4.2E+13  1.0E-01  GTH600x 
3.0E+00  5.0E+03  0.0E+00  GTN6002 
3.1E+00  1.4E+06  0.0E+00  GTN600A 
3.1E+00  2.1E+13  1.0E-01  GTH600i 
3.0E+00  5.7E+09  1.0E-01  GTH600K 
2.7E+00  1.5E+05  1.0E-01  GTH6002 
2.8E+00  4.4E+08  1.0E-01  GTH600D 
2.8E+00  5.6E+06  1.0E-01  GTH600P 
3.0E+00  5.7E+03  0.0E+00  GTN6001 
2.7E+00  2.0E+06  1.0E-01  GTH6001 
2.5E+00  1.5E+05  0.0E+00  GTK6001 
2.8E+00  6.1E+06  1.0E-01  GTH600E 
2.6E+00  8.8E+08  0.0E+00  GTK6007 
2.6E+00  5.0E+06  0.0E+00  GTK600A 
2.8E+00  1.8E+07  1.0E-01  GTH600q 
3.0E+00  6.1E+11  1.0E-01  GTH6011 
2.8E+00  1.6E+07  1.0E-01  GTH600U 
2.9E+00  3.1E+16  0.0E+00  GTK600G 
2.8E+00  7.5E+14  0.0E+00  GTK600B 
2.9E+00  1.0E+18  0.0E+00  GTK600F 
3.4E+00  1.7E+06  1.0E-01  GTH600e 
3.4E+00  2.3E+13  1.0E-01  GTH6018 
3.3E+00  1.3E+13  1.0E-01  GTH6014 
3.4E+00  1.7E+10  0.0E+00  GTN600Y 
3.1E+00  2.6E+12  1.0E-01  GTH601F 
3.4E+00  2.6E+13  0.0E+00  GTN600S 
3.1E+00  3.9E+12  1.0E-01  GTH600z 
3.2E+00  2.9E+06  0.0E+00  GTN600I 
3.0E+00  4.7E+08  1.0E-01  GTH600a 
3.9E+00  4.2E+09  1.0E-01  GTH601E 
4.2E+00  5.5E+07  1.0E-01  GTH601C 
4.0E+00  3.4E+10  1.0E-01  GTH601D 
3.7E+00  1.7E+06  1.0E-01  GTH600c 
3.8E+00  2.0E+13  1.0E-01  GTH6016 
3.6E+00  5.8E+13  1.0E-01  GTH6012 
3.5E+00  4.9E+13  1.0E-01  GTH601B 
3.8E+00  5.5E+14  1.0E-01  GTH601A 
3.5E+00  2.1E+14  1.0E-01  GTH600w 
3.4E+00  3.5E+11  1.0E-01  GTH600Y 
3.4E+00  7.5E+08  1.0E-01  GTH600g 
3.3E+00  2.9E+11  1.0E-01  GTH600h 
3.0E+00  8.8E+06  1.0E-01  GTH600H 
3.1E+00  1.8E+11  1.0E-01  GTH6015 
3.2E+00  6.1E+12  0.0E+00  GTN600G 
3.0E+00  1.9E+10  1.0E-01  GTH600X 
3.3E+00  1.0E+18  0.0E+00  GTN600R 
3.1E+00  2.5E+17  1.0E-01  GTH600y 
